doi	Total trials pub2	Total numb participants pub2	Search date pub 2	Total trials pub3	Total numb participants pub3	Search date pub 3	Conclusion
10.1002/14651858.CD004233	8	2540	1 July 2008	8	2540	3 January 2012	0
10.1002/14651858.CD006770	4	307	1 March 2009	8	678	31 August 2013	0
10.1002/14651858.CD009235	15	1190	1 August 2012	20	1619	1 September 2013	0
10.1002/14651858.CD007338	9	592	1 November 2008	10	622	1 January 2012	0
10.1002/14651858.CD008201	54	10926	1 July 2010	13	1313	7 January 2017	0
10.1002/14651858.CD009887	1	17	19 August 2013	1	32	10 August 2015	0
10.1002/14651858.CD005607	9	905	1 March 2007	10	1025	30 October 2009	1
10.1002/14651858.CD005292	2	150	1 December 2008	21	2222	11 September 2012	0
10.1002/14651858.CD005938	1	513	1 June 2008	1	513	31 July 2013	0
10.1002/14651858.CD008295	3	153	6 December 2010	3	153	24 July 2013	0
10.1002/14651858.CD007771	4	294	1 September 2009	10	811	1 February 2015	0
10.1002/14651858.CD007286	6	1463	1 September 2012	8	1667	4 August 2014	0
10.1002/14651858.CD003220	46	2479	25 October 2013	84	4548	10 August 2017	1
10.1002/14651858.CD007402	47	5657	1 December 2009	61	9418	1 February 2015	0
10.1002/14651858.CD006649	15	1369	1 January 2007	16	1606	1 February 2010	0
10.1002/14651858.CD009281	15	5220	1 January 2012	20	5292	28 August 2014	0
10.1002/14651858.CD007245	2	235	1 August 2009	4	549	1 October 2015	0
10.1002/14651858.CD006640	5	2041	1 October 2011	8	1501	1 July 2014	0
10.1002/14651858.CD009163	23	3244	22 February 2012	25	3663	14 April 2016	0
10.1002/14651858.CD006178	1	4429	1 July 2009	1	4429	30 November 2014	0
10.1002/14651858.CD010447	1	3	1 April 2013	1	3	14 April 2016	0
10.1002/14651858.CD007859	7	517	1 November 2009	9	571	2 August 2012	0
10.1002/14651858.CD010720	5	2046	1 November 2014	5	2046	1 October 2017	0
10.1002/14651858.CD009243	19	2798	2 September 2011	21	3286	28 February 2013	0
10.1002/14651858.CD007563	4	1387	1 November 2009	4	1387	1 March 2014	0
10.1002/14651858.CD007560	1	67	1 November 2008	3	199	26 June 2014	1
10.1002/14651858.CD005305	9	427	1 March 2010	9	427	1 March 2010	0
10.1002/14651858.CD006484	9	470	1 February 2007	10	502	1 August 2012	0
10.1002/14651858.CD008754	8	551	1 February 2011	15	1019	2 June 2015	1
10.1002/14651858.CD000253	3	30348	1 August 2007	4	70224	26 January 2012	0
10.1002/14651858.CD007892	4	1361	1 December 2009	4	1361	8 August 2012	0
10.1002/14651858.CD009603	9	366	1 April 2013	9	366	1 April 2013	0
10.1002/14651858.CD008579	11	532	1 December 2011	11	532	2 June 2014	0
10.1002/14651858.CD009780	3	247	1 March 2012	4	260	1 August 2015	0
10.1002/14651858.CD008968	1	548	27 February 2012	1	548	30 April 2016	0
10.1002/14651858.CD008394	6	200	1 August 2012	6	200	18 September 2014	0
10.1002/14651858.CD005044	22	1566	1 July 2010	22	1566	1 November 2014	0
10.1002/14651858.CD008649	4	677	16 April 2015	6	795	28 September 2017	0
10.1002/14651858.CD006283	6	563	1 February 2008	12	891	1 February 2011	1
10.1002/14651858.CD002811	4	1693	1 July 2010	4	1693	1 July 2010	1
10.1002/14651858.CD003101	61	8392	24 February 2012	68	9496	1 March 2014	0
10.1002/14651858.CD008893	19	598	1 November 2011	40	1465	1 November 2016	0
